PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20151001;13CC;00;Basissch De Morgenster;8072HH;NUNSPEET;302;Nunspeet;Gelderland;Bo;Protestants-Christelijk;24533;217,946808510638;188
20151001;13CD;00;Wereldschool Amsterdam;1014ZG;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;1473,62839879154;331
20151001;13CF;00;Het Speleon;5402BE;UDEN;856;Uden;Noord-Brabant;Bo;Rooms-Katholiek;32177;375,34693877551;245
20151001;13CG;00;Het Baken I;3904RS;VEENENDAAL;345;Veenendaal;Utrecht;Bo;Protestants-Christelijk;41154;317,751131221719;221
20151001;13CH;00;Chr. Daltonschool Kon. Emma;8023AE;ZWOLLE;193;Zwolle;Overijssel;Bo;Protestants-Christelijk;40934;1946,5564516129;372
20151001;13CI;00;Den Akker;5061WB;OISTERWIJK;824;Oisterwijk;Noord-Brabant;Bo;Rooms-Katholiek;40947;443,779220779221;154
20151001;13CJ;00;Basissch St Paschalis;6604AE;WIJCHEN;296;Wijchen;Gelderland;Bo;Rooms-Katholiek;38001;669,748945147679;474
20151001;13CK;00;Basissch t Kwekkeveld;5481GS;SCHIJNDEL;844;Schijndel;Noord-Brabant;Bo;Rooms-Katholiek;40874;345,774373259053;359
20151001;13CL;00;PC Basissch 't Bolwerk;2353WB;LEIDERDORP;547;Leiderdorp;Zuid-Holland;Bo;Protestants-Christelijk;41316;278,708133971292;209
20151001;13CM;00;Groen van Prinsterer;2906CG;CAPELLE AAN DEN IJSSEL;502;Capelle aan den IJssel;Zuid-Holland;Bo;Protestants-Christelijk;43227;1099,19877675841;327
20151001;13CN;00;Knotwilg;1106DV;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Samenwerking PC, RK;43864;758,826388888889;288
20151001;13CP;00;RK Basissch Meerdijk;5143GJ;WAALWIJK;867;Waalwijk;Noord-Brabant;Bo;Rooms-Katholiek;71008;729,969072164948;194
20151001;13CQ;00;Margrietschool v Chr Bso;6706KA;WAGENINGEN;289;Wageningen;Gelderland;Bo;Protestants-Christelijk;41460;1004,37988826816;179
20151001;13CT;00;Willem Alexander School;3433CT;NIEUWEGEIN;356;Nieuwegein;Utrecht;Bo;Protestants-Christelijk;41528;586,311154598826;511
20151001;13CU;00;W. van Veenschool;2223BM;KATWIJK ZH;537;Katwijk;Zuid-Holland;Bo;Protestants-Christelijk;40508;433,101941747573;206
20151001;13CV;00;Chr Basisschool De Bron;9101WB;DOKKUM;58;Dongeradeel;Friesland;Bo;Protestants-Christelijk;40788;801,067484662577;163
20151001;13CW;00;Basisschool de Ichthus;1316EP;ALMERE;34;Almere;Flevoland;Bo;Protestants-Christelijk;40114;909,366863905325;169
20151001;13CY;00;Engelenburgschool;3901KD;VEENENDAAL;345;Veenendaal;Utrecht;Bo;Protestants-Christelijk;70085;837,534722222222;144
20151001;13DD;00;Chr Bs de Wegwijzer;2691VK;'S-GRAVENZANDE;1783;Westland;Zuid-Holland;Bo;Protestants-Christelijk;41454;326,24;225
20151001;13DH;00;RK Basisschool Toermalijn;8243LR;LELYSTAD;995;Lelystad;Flevoland;Bo;Rooms-Katholiek;40950;310,263537906137;277
20151001;13DK;00;Willem Alexanderschool;1188AM;AMSTELVEEN;362;Amstelveen;Noord-Holland;Bo;Protestants-Christelijk;40020;995,299287410926;421
20151001;13DM;00;CBS de Ark;3023TN;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;74531;571,719101123595;91
20151001;13DO;00;De Stelle;4536BP;TERNEUZEN;715;Terneuzen;Zeeland;Bo;Protestants-Christelijk;41241;311,9921875;128
20151001;13DR;00;OJS Het Scala;8262SX;KAMPEN;166;Kampen;Overijssel;Bo;Openbaar;41871;349,495798319328;119
20151001;13DS;00;Obs de Tjongeling;8421PE;OLDEBERKOOP;85;Ooststellingwerf;Friesland;Bo;Openbaar;41631;787,067669172932;133
20151001;13DT;00;OBS Oetkomst;9615AE;KOLHAM;40;Slochteren;Groningen;Bo;Openbaar;41779;979,948051948052;77
20151001;13DW;00;Basissch de Berkenschool;3828BN;HOOGLAND;307;Amersfoort;Utrecht;Bo;Protestants-Christelijk;30010;534,656108597285;222
20151001;13EC;00;De Irisschool;4533DW;TERNEUZEN;715;Terneuzen;Zeeland;Bo;Openbaar;40803;375,938144329897;197
20151001;13ED;00;Obs de Zilvermeeuw;1771JG;WIERINGERWERF;1911;Hollands Kroon;Noord-Holland;Bo;Openbaar;41438;1710,63333333333;90
20151001;13EH;00;Obs de Zuidwesthoek;4462LB;GOES;664;Goes;Zeeland;Bo;Openbaar;41670;971,252631578947;190
20151001;13EI;00;Basisschool de Skans;9249MC;FRIESCHEPALEN;86;Opsterland;Friesland;Bo;Openbaar;41806;3493,90566037736;53
20151001;13EK;00;Onze Wereld;2572CC;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Rooms-Katholiek;20281;575,168781725888;793
20151001;13EN;00;Basisschool Buurse;7481RL;HAAKSBERGEN;158;Haaksbergen;Overijssel;Bo;Rooms-Katholiek;25351;1626,07692307692;108
20151001;13EQ;00;De Wingerd;6546XN;NIJMEGEN;268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;29810;93,3297297297297;370
20151001;13ER;00;Koningin Emmaschool;8262AN;KAMPEN;166;Kampen;Overijssel;Bo;Protestants-Christelijk;41125;425,839506172839;162
20151001;13ES;00;De Bron;3224TT;HELLEVOETSLUIS;530;Hellevoetsluis;Zuid-Holland;Bo;Protestants-Christelijk;41507;2429,54787234043;189
20151001;13ES;01;Basisschool de Brug;3223XE;HELLEVOETSLUIS;530;Hellevoetsluis;Zuid-Holland;Bo;Protestants-Christelijk;41507;1701,32727272727;110
20151001;13EZ;00;Basissch Klein Heyendaal;6524NP;NIJMEGEN;268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;47100;1129,18913043478;460
20151001;13FA;00;RK Basissch de Oostpoort;2611SN;DELFT;503;Delft;Zuid-Holland;Bo;Rooms-Katholiek;40928;943,47280334728;239
20151001;13FE;00;CBS De Rank;8315AM;LUTTELGEEST;171;Noordoostpolder;Flevoland;Bo;Protestants-Christelijk;52274;728,704918032787;61
20151001;13FF;00;Basissch Harmpje Visser;8322GH;URK;184;Urk;Flevoland;Bo;Protestants-Christelijk;53015;100,454314720812;394
20151001;13FI;00;De Regenboog;7671ZX;VRIEZENVEEN;1700;Twenterand;Overijssel;Bo;Protestants-Christelijk;61751;208,443708609272;151
20151001;13FK;00;Basisschool de Blokwhere;1132NA;VOLENDAM;385;Edam-Volendam;Noord-Holland;Bo;Rooms-Katholiek;72853;183,147959183673;196
20151001;13FM;00;De Visserschool;1057VB;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;1039,53333333333;182
20151001;13FP;00;Basissch met de Bijbel;3881RG;PUTTEN;273;Putten;Gelderland;Bo;Protestants-Christelijk;40862;721,578947368421;19
20151001;13FR;00;Valentijn;1095VZ;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;775,464285714286;115
20151001;13FU;00;Basisschool op de Esch;9551BM;SELLINGEN;48;Vlagtwedde;Groningen;Bo;Openbaar;10925;1457,08333333333;70
20151001;13FW;00;OBS De Regenboog;7776BA;SLAGHAREN;160;Hardenberg;Overijssel;Bo;Openbaar;41630;445,333333333333;87
20151001;13GC;00;BS De Tweemaster;4201HR;GORINCHEM;512;Gorinchem;Zuid-Holland;Bo;Samenwerking Opb., RK;41386;532,2421875;129
20151001;13GD;00;Obs de Tandem;9301PK;RODEN;1699;Noordenveld;Drenthe;Bo;Openbaar;11711;78,3140495867769;121
20151001;13GJ;00;OBS G.A. van der Lugt;7275AG;GELSELAAR;1859;Berkelland;Gelderland;Bo;Openbaar;41413;57,5166666666667;60
20151001;13GL;00;Basisschool de Peperklip;3112ZM;SCHIEDAM;606;Schiedam;Zuid-Holland;Bo;Openbaar;41567;512,455149501661;303
20151001;13GN;00;Bs Giethoorn Noord;8355BB;GIETHOORN;1708;Steenwijkerland;Overijssel;Bo;Openbaar;41816;145,336363636364;110
20151001;13GQ;00;De Schuthoek;7908EE;HOOGEVEEN;118;Hoogeveen;Drenthe;Bo;Openbaar;42557;163,886597938144;291
20151001;13GU;00;OBS de Viermaster;9642KX;VEENDAM;47;Veendam;Groningen;Bo;Openbaar;41780;335,508771929825;285
20151001;13GV;00;Bs de Krunenstrobbe;9023AG;JORWERT;140;Littenseradiel;Friesland;Bo;Openbaar;41856;0;36
20151001;13GW;00;De Gouwaert;3267AN;GOUDSWAARD;588;Korendijk;Zuid-Holland;Bo;Openbaar;41444;0;35
20151001;13HA;00;Basisschool de Velden;8391KG;NOORDWOLDE FR;98;Weststellingwerf;Friesland;Bo;Openbaar;41631;1388,39583333333;48
