PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM
20160415;20160722;13LY;00;Samenw Sch Bso Itens;8735HT;ITENS; 140;Littenseradiel;Friesland;Bo;Samenwerking Opb., PC;41856;2;0;2; ;0; ;0;
20160415;20160722;13MB;00;Cornelis Jetses;6961BH;EERBEEK; 213;Brummen;Gelderland;Bo;Openbaar;41566;6;0;6;533,166666666667;0; ;0;
20160415;20160722;13MC;00;It Iepen Stee;9258CK;JISTRUM; 737;Tytsjerksteradiel;Friesland;Bo;Openbaar;41735;10;0;10;540,4;0; ;0;
20160415;20160722;13MF;00;Obs Michiel de Ruyter;1181ER;AMSTELVEEN; 362;Amstelveen;Noord-Holland;Bo;Openbaar;41580;57;0;57;536,385964912281;0; ;0;
20160415;20160722;13MG;00;OBS de Opbouw;5624BE;EINDHOVEN; 772;Eindhoven;Noord-Brabant;Bo;Openbaar;41248;30;0;30;530,266666666667;0; ;0;
20160415;20160722;13MH;00;SSBO De Windroos;3221VJ;HELLEVOETSLUIS; 530;Hellevoetsluis;Zuid-Holland;Sbo;Openbaar;41570;30;0;0; ;0; ;0;
20160415;20160722;13MI;00;Obs de Oudvaart;8604ZC;SNEEK;1900;Súdwest-Fryslân;Friesland;Bo;Openbaar;42546;37;0;0; ;0; ;37;204,027027027027
20160415;20160722;13MJ;00;Basisschool de Ieveling;1633HE;AVENHORN;1598;Koggenland;Noord-Holland;Bo;Openbaar;41421;33;1;0; ;32;80,65625;0;
20160415;20160722;13MK;00;Obs de Kraaienboom;1654JX;BENNINGBROEK; 420;Medemblik;Noord-Holland;Bo;Openbaar;41421;14;0;0; ;15;74;0;
20160415;20160722;13MM;00;Pr Willem Alexandersch;4061AR;OPHEMERT; 304;Neerijnen;Gelderland;Bo;Openbaar;41561;18;0;18;535,722222222222;0; ;0;
20160415;20160722;13MN;00;Basisschool Overstegen;7002KA;DOETINCHEM; 222;Doetinchem;Gelderland;Bo;Openbaar;41371;32;3;30;527,866666666667;0; ;0;
20160415;20160722;13MO;00;WereldKidz Triangel;3607NZ;MAARSSEN;1904;Stichtse Vecht;Utrecht;Bo;Openbaar;41496;15;0;0; ;15;86,5333333333333;0;
