WPO (BAO);Peildatum:;1-10-2016;Bijgewerkt tot:;15-10-2016;;;Actieve inschrijvingen;;;;;;;waarvan bekostigd;;;;;;;waarvan niet bekostigd;;;;;;
BRIN_NUMMER;VESTIGINGSNUMMER;NAAM_INSTELLING;GEMEENTENAAM;PROVINCIE;SWV;BEVOEGD_GEZAG_NUMMER;TOTAAL;TOTAAL_JONGER_8;TOTAAL_8_EO;TOTAAL_GEW00;TOTAAL_GEW03;TOTAAL_GEW12;TOTAAL_NOAT;TOTAAL_BEKOSTIGD;BEK_JONGER_8;BEK_8_EO;BEK_GEW00;BEK_GEW03;BEK_GEW12;BEK_NOAT;TOTAAL_NIET_BEKOSTIGD;NIETBEK_JONGER_8;NIETBEK_8_EO;NIETBEK_GEW00;NIETBEK_GEW03;NIETBEK_GEW12;NIETBEK_NOAT
13LO;0;Bs Giethoorn Zuid;STEENWIJKERLAND;Overijssel;PO2203;41816;79;32;47;76;3;0;2;78;32;46;75;3;0;2;1;0;1;1;0;0;0
13LR;0;OBS De Steven;FRANEKERADEEL;Friesland;PO2101;41361;107;36;71;92;8;7;1;106;35;71;91;8;7;1;1;1;0;1;0;0;0
13LV;0;Obs de Schuttershoek;SLUIS;Zeeland;PO2903;41637;81;40;41;72;5;4;4;81;40;41;72;5;4;4;0;0;0;0;0;0;0
13LW;0;obs de Boog Bospolder;ROTTERDAM;Zuid-Holland;PO2806;41775;132;62;70;76;5;51;85;129;61;68;76;5;48;82;3;1;2;0;0;3;3
13LY;0;Samenw Sch Bso Itens;LITTENSERADIEL;Friesland;PO2101;41856;33;20;13;32;1;0;0;33;20;13;32;1;0;0;0;0;0;0;0;0;0
13MB;0;Spr@nkel;BRUMMEN;Gelderland;PO2501;41566;75;31;44;61;10;4;10;75;31;44;61;10;4;10;0;0;0;0;0;0;0
13MC;0;It Iepen Stee;TYTSJERKSTERADIEL;Friesland;PO2101;41735;39;19;20;37;2;0;0;39;19;20;37;2;0;0;0;0;0;0;0;0;0
13MF;0;Obs Michiel de Ruyter;AMSTELVEEN;Noord-Holland;PO2708;41580;435;219;216;435;0;0;14;435;219;216;435;0;0;14;0;0;0;0;0;0;0
13MG;0;OBS de Opbouw;EINDHOVEN;Noord-Brabant;PO3007;41248;346;193;153;312;19;15;87;346;193;153;312;19;15;87;0;0;0;0;0;0;0
13MI;0;Obs de Oudvaart;SUDWEST-FRYSLAN;Friesland;PO2101;42546;178;94;84;174;4;0;10;178;94;84;174;4;0;10;0;0;0;0;0;0;0
13MJ;0;Basisschool de Ieveling;KOGGENLAND;Noord-Holland;PO2702;41421;172;79;93;158;6;8;16;172;79;93;158;6;8;16;0;0;0;0;0;0;0
13MK;0;Obs de Kraaienboom;MEDEMBLIK;Noord-Holland;PO2702;41421;113;47;66;106;4;3;0;113;47;66;106;4;3;0;0;0;0;0;0;0;0
13MM;0;Pr Willem Alexandersch;NEERIJNEN;Gelderland;PO2508;41561;113;46;67;95;16;2;3;113;46;67;95;16;2;3;0;0;0;0;0;0;0
13MN;0;Basisschool Overstegen;DOETINCHEM;Gelderland;PO2503;41371;329;133;196;189;67;73;140;329;133;196;189;67;73;140;0;0;0;0;0;0;0
13MO;0;WereldKidz Triangel;STICHTSE VECHT;Utrecht;PO2604;41496;115;65;50;103;6;6;9;115;65;50;103;6;6;9;0;0;0;0;0;0;0
13MP;0;Basissch de Viermaster;PAPENDRECHT;Zuid-Holland;PO2809;41560;411;191;220;355;30;26;91;411;191;220;355;30;26;91;0;0;0;0;0;0;0
13MR;0;RK Basisschool De Buut;ZOETERMEER;Zuid-Holland;PO2817;40377;233;100;133;228;3;2;39;233;100;133;228;3;2;39;0;0;0;0;0;0;0
13MS;0;Dr Rijk Kramer;AMSTERDAM;Noord-Holland;PO2707;81316;483;240;243;467;4;12;76;483;240;243;467;4;12;76;0;0;0;0;0;0;0
13MS;1;Dr Rijk Kramer;AMSTERDAM;Noord-Holland;PO2707;81316;148;72;76;129;11;8;54;147;72;75;128;11;8;54;1;0;1;1;0;0;0
13MT;0;RK Basissch De Vlonder;UDEN;Noord-Brabant;PO3006;32177;218;111;107;213;4;1;15;217;110;107;212;4;1;15;1;1;0;1;0;0;0
13MV;0;De Morgenster;ZWOLLE;Overijssel;PO2305;40934;280;130;150;276;2;2;1;280;130;150;276;2;2;1;0;0;0;0;0;0;0
13MW;0;'t Palet;WIJCHEN;Gelderland;PO2507;38001;190;71;119;164;19;7;27;190;71;119;164;19;7;27;0;0;0;0;0;0;0
13MX;0;Basisschool de Heycant;SCHIJNDEL;Noord-Brabant;PO3005;40874;394;200;194;385;8;1;8;394;200;194;385;8;1;8;0;0;0;0;0;0;0
13MY;0;PC Bs de Horizon;CAPELLE AAN DEN IJSSEL;Zuid-Holland;PO2818;43227;403;220;183;388;7;8;62;403;220;183;388;7;8;62;0;0;0;0;0;0;0
13MZ;0;Klaverblad;AMSTERDAM;Noord-Holland;PO2707;43864;277;158;119;171;55;51;103;277;158;119;171;55;51;103;0;0;0;0;0;0;0
13NA;0;Prinses Margrietschool;ROTTERDAM;Zuid-Holland;PO2806;47595;251;136;115;194;39;18;88;250;136;114;193;39;18;87;1;0;1;1;0;0;1
13NB;0;Basissch Pater vd Geld;WAALWIJK;Noord-Brabant;PO3010;71008;356;151;205;337;12;7;22;356;151;205;337;12;7;22;0;0;0;0;0;0;0
13NC;0;Ireneschool v Chr Bso;WAGENINGEN;Gelderland;PO2510;41460;92;44;48;61;18;13;9;92;44;48;61;18;13;9;0;0;0;0;0;0;0
13NG;0;Chr Bs de Hoeksteen;DONGERADEEL;Friesland;PO2101;40788;160;74;86;146;11;3;2;159;73;86;145;11;3;2;1;1;0;1;0;0;0
13NH;0;Basisschool de Regenboog;ALMERE;Flevoland;PO2401;40114;369;213;156;347;18;4;21;368;212;156;346;18;4;21;1;1;0;1;0;0;0
13NI;0;Prinses Beatrixschool;VEENENDAAL;Utrecht;PO2510;70085;112;44;68;83;21;8;28;112;44;68;83;21;8;28;0;0;0;0;0;0;0
13NP;0;Beatrixschool;RIJSSEN-HOLTEN;Overijssel;PO2301;77196;236;123;113;221;13;2;2;236;123;113;221;13;2;2;0;0;0;0;0;0;0
13NU;0;De Goede Herder;ALMERE;Flevoland;PO2401;40950;175;84;91;149;21;5;11;174;83;91;148;21;5;11;1;1;0;1;0;0;0
13NV;0;PC Basissch de Schakel;KATWIJK;Zuid-Holland;PO2812;80095;203;92;111;194;6;3;5;203;92;111;194;6;3;5;0;0;0;0;0;0;0
13NX;0;Dr. J. Woltjerschool;ROTTERDAM;Zuid-Holland;PO2806;74531;222;111;111;157;18;47;172;219;111;108;154;18;47;170;3;0;3;3;0;0;2
13NZ;0;De Oude Vaart;TERNEUZEN;Zeeland;PO2903;41241;284;133;151;186;83;15;61;284;133;151;186;83;15;61;0;0;0;0;0;0;0
13OA;0;Basisschool Pr Beatrix;BARNEVELD;Gelderland;PO2510;83579;59;27;32;57;2;0;2;59;27;32;57;2;0;2;0;0;0;0;0;0;0
13OD;0;Obs De Stelling;OOSTSTELLINGWERF;Friesland;PO2101;41631;82;38;44;81;1;0;0;82;38;44;81;1;0;0;0;0;0;0;0;0;0
13OE;0;OBS Driespan;SLOCHTEREN;Groningen;PO2001;41779;294;140;154;286;5;3;1;293;139;154;285;5;3;1;1;1;0;1;0;0;0
13OF;0;Basisschool B;STEENWIJKERLAND;Overijssel;PO2203;41816;241;149;92;240;1;0;11;241;149;92;240;1;0;11;0;0;0;0;0;0;0
13OJ;0;Basisschool Tandem;ZWIJNDRECHT;Zuid-Holland;PO2809;42709;213;92;121;182;4;27;17;213;92;121;182;4;27;17;0;0;0;0;0;0;0
13OK;0;Obs Markenburg;NISSEWAARD;Zuid-Holland;PO2808;41570;109;56;53;105;2;2;3;109;56;53;105;2;2;3;0;0;0;0;0;0;0
13ON;0;Obs Leemvoortschool;OUDE IJSSELSTREEK;Gelderland;PO2503;41501;31;12;19;31;0;0;0;31;12;19;31;0;0;0;0;0;0;0;0;0;0
13OS;0;Obs de Kloetingse School;GOES;Zeeland;PO2902;41670;169;80;89;161;8;0;5;169;80;89;161;8;0;5;0;0;0;0;0;0;0
13OW;0;IC BS Statenkwartier;S GRAVENHAGE;Zuid-Holland;PO2815;20281;354;211;143;354;0;0;1;354;211;143;354;0;0;1;0;0;0;0;0;0;0
13OY;0;Willem van Oranje;ENSCHEDE;Overijssel;PO2302;24844;84;35;49;84;0;0;1;84;35;49;84;0;0;1;0;0;0;0;0;0;0
13PA;0;RKbs Bonifacius Roncalli;ALPHEN AAN DEN RIJN;Zuid-Holland;PO2813;28601;492;228;264;486;6;0;15;485;222;263;479;6;0;15;7;6;1;7;0;0;0
13PG;0;Basisschool De Duif;NISSEWAARD;Zuid-Holland;PO2808;45917;457;248;209;397;50;10;80;456;248;208;397;49;10;80;1;0;1;0;1;0;0
13PH;0;Basissch Petrus Canisius;NIJMEGEN;Gelderland;PO2507;47100;192;87;105;189;2;1;0;192;87;105;189;2;1;0;0;0;0;0;0;0;0
13PH;1;Basissch Petrus Canisius;NIJMEGEN;Gelderland;PO2507;47100;172;81;91;163;1;8;3;172;81;91;163;1;8;3;0;0;0;0;0;0;0
13PI;0;Bernadette Mariaschool;DELFT;Zuid-Holland;PO2802;40928;257;139;118;220;31;6;30;257;139;118;220;31;6;30;0;0;0;0;0;0;0
13PK;0;Chr Basisschool Rehoboth;TWENTERAND;Overijssel;PO2301;61751;103;47;56;98;4;1;3;103;47;56;98;4;1;3;0;0;0;0;0;0;0
13PL;0;St Nicolaas Basisschool;EDAM-VOLENDAM;Noord-Holland;PO2706;72853;215;108;107;172;39;4;3;215;108;107;172;39;4;3;0;0;0;0;0;0;0
13PP;0;De Morgenster;KAMPEN;Overijssel;PO2305;41125;278;151;127;265;13;0;8;278;151;127;265;13;0;8;0;0;0;0;0;0;0
13PQ;0;Bs md Bijbel bij de Bron;PUTTEN;Gelderland;PO2509;40862;131;72;59;126;5;0;0;131;72;59;126;5;0;0;0;0;0;0;0;0;0
13PR;0;Prof. Dr. H. Kraemer;AMSTERDAM;Noord-Holland;PO2707;81316;199;103;96;129;8;62;162;199;103;96;129;8;62;162;0;0;0;0;0;0;0
13PS;0;OBS De Woldstroom;MEPPEL;Drenthe;PO2203;41629;200;94;106;157;19;24;66;200;94;106;157;19;24;66;0;0;0;0;0;0;0
13PV;0;Prinses Margriet School;DEN HELDER;Noord-Holland;PO2701;41858;246;128;118;233;13;0;12;246;128;118;233;13;0;12;0;0;0;0;0;0;0
13QB;0;De Poolster;NOORDENVELD;Drenthe;PO2001;11711;292;147;145;269;8;15;4;292;147;145;269;8;15;4;0;0;0;0;0;0;0
13QD;0;Grote en de Kleine Beer;HEERHUGOWAARD;Noord-Holland;PO2703;41364;140;63;77;135;3;2;46;140;63;77;135;3;2;46;0;0;0;0;0;0;0
13QE;0;Daalhuizen;RHEDEN;Gelderland;PO2506;41617;331;171;160;326;2;3;11;331;171;160;326;2;3;11;0;0;0;0;0;0;0
13QG;0;Basisschool de Rolpaal;STEENWIJKERLAND;Overijssel;PO2203;41816;44;21;23;44;0;0;0;44;21;23;44;0;0;0;0;0;0;0;0;0;0
13QJ;0;OBS De Opslach;FRANEKERADEEL;Friesland;PO2101;41361;218;101;117;200;10;8;5;216;99;117;199;10;7;5;2;2;0;1;0;1;0
13QL;0;BS De Beelen;LEEK;Groningen;PO2001;41846;172;78;94;152;14;6;9;172;78;94;152;14;6;9;0;0;0;0;0;0;0
13QM;0;Europaschool;SLUIS;Zeeland;PO2903;41637;44;16;28;43;0;1;1;43;16;27;42;0;1;0;1;0;1;1;0;0;1
13QN;0;De Vierambacht;ROTTERDAM;Zuid-Holland;PO2806;41775;503;258;245;428;17;58;219;503;258;245;428;17;58;219;0;0;0;0;0;0;0
13QO;0;Obs de Braskorf;VEENDAM;Groningen;PO2001;41780;355;174;181;344;7;4;6;355;174;181;344;7;4;6;0;0;0;0;0;0;0
13QP;0;Basissch de Gielguorde;LITTENSERADIEL;Friesland;PO2101;41856;114;53;61;113;1;0;4;114;53;61;113;1;0;4;0;0;0;0;0;0;0
13QS;0;het P@rk;BRUMMEN;Gelderland;PO2501;41566;233;104;129;205;20;8;9;233;104;129;205;20;8;9;0;0;0;0;0;0;0
13QU;0;De Bolster;TYTSJERKSTERADIEL;Friesland;PO2101;41735;30;15;15;30;0;0;0;30;15;15;30;0;0;0;0;0;0;0;0;0;0
13QV;0;Vensterschool Noordwolde;WESTSTELLINGWERF;Friesland;PO2101;41631;205;87;118;177;27;1;5;205;87;118;177;27;1;5;0;0;0;0;0;0;0
13QZ;0;Parkschool;DELFT;Zuid-Holland;PO2802;41441;298;153;145;216;27;55;149;298;153;145;216;27;55;149;0;0;0;0;0;0;0
13RA;0;Bs. Strijp Dorp;EINDHOVEN;Noord-Brabant;PO3007;41248;143;97;46;119;18;6;38;143;97;46;119;18;6;38;0;0;0;0;0;0;0
13RB;0;De Bosweide;RIDDERKERK;Zuid-Holland;PO2805;42709;283;146;137;229;36;18;53;283;146;137;229;36;18;53;0;0;0;0;0;0;0
13RD;0;Geert Holle;KOGGENLAND;Noord-Holland;PO2702;41421;175;82;93;171;1;3;6;175;82;93;171;1;3;6;0;0;0;0;0;0;0
13RF;0;Basissch de Rietschoof;NEERIJNEN;Gelderland;PO2508;41561;64;31;33;54;3;7;6;64;31;33;54;3;7;6;0;0;0;0;0;0;0
13RI;0;Basisschool Anne Frank;PAPENDRECHT;Zuid-Holland;PO2809;41560;193;85;108;147;14;32;94;193;85;108;147;14;32;94;0;0;0;0;0;0;0
13RO;0;Mobiel;AMSTERDAM;Noord-Holland;PO2707;43864;243;124;119;194;23;26;79;243;124;119;194;23;26;79;0;0;0;0;0;0;0
13RP;0;Oranjeschool v Basissond;ROTTERDAM;Zuid-Holland;PO2806;47595;246;127;119;185;13;48;204;244;125;119;183;13;48;202;2;2;0;2;0;0;2
13RQ;0;RK BS Pieter Wijten;WAALWIJK;Noord-Brabant;PO3010;71008;101;52;49;80;18;3;4;101;52;49;80;18;3;4;0;0;0;0;0;0;0
13RS;0;RK Montessorisch v Bso;UTRECHT;Utrecht;PO2601;77195;317;181;136;313;1;3;25;317;181;136;313;1;3;25;0;0;0;0;0;0;0
13RU;0;Patrimoniumschool;VEENENDAAL;Utrecht;PO2510;70085;309;157;152;278;17;14;36;308;157;151;278;16;14;36;1;0;1;0;1;0;0
13RX;0;Pr Willem Alexandersch;WESTLAND;Zuid-Holland;PO2803;41454;411;216;195;402;8;1;3;411;216;195;402;8;1;3;0;0;0;0;0;0;0
13RY;0;J.H. Snijdersschool;RIJSWIJK;Zuid-Holland;PO2815;20281;408;233;175;399;8;1;15;407;232;175;398;8;1;15;1;1;0;1;0;0;0
13RZ;0;Basisschool Juliana;RIJSSEN-HOLTEN;Overijssel;PO2301;77196;748;383;365;718;21;9;53;748;383;365;718;21;9;53;0;0;0;0;0;0;0
13SB;0;Gr v Prinsterer Basissch;DE BILT;Utrecht;PO2603;41794;229;114;115;217;7;5;21;229;114;115;217;7;5;21;0;0;0;0;0;0;0
13SE;0;RK Bs de Zevenster;ZEEWOLDE;Flevoland;PO2509;30357;64;17;47;58;5;1;2;64;17;47;58;5;1;2;0;0;0;0;0;0;0
13SF;0;Kon Wilhelminaschool;KATWIJK;Zuid-Holland;PO2812;80095;380;179;201;345;32;3;8;380;179;201;345;32;3;8;0;0;0;0;0;0;0
13SI;0;De Hille;TERNEUZEN;Zeeland;PO2903;41241;121;61;60;116;5;0;4;121;61;60;116;5;0;4;0;0;0;0;0;0;0
13SJ;0;O.B.S. MST. K.J. Dijkstra;OOSTSTELLINGWERF;Friesland;PO2101;41631;58;25;33;56;2;0;0;58;25;33;56;2;0;0;0;0;0;0;0;0;0
13SN;0;Basisschool de Develhoek;ZWIJNDRECHT;Zuid-Holland;PO2809;42709;337;213;124;317;16;4;40;337;213;124;317;16;4;40;0;0;0;0;0;0;0
13SP;0;Obs 't Kraaienest;BEVERWIJK;Noord-Holland;PO2711;41375;242;110;132;199;30;13;43;242;110;132;199;30;13;43;0;0;0;0;0;0;0
13SQ;0;Obs Zuuk;EPE;Gelderland;PO2509;41345;57;27;30;53;4;0;1;57;27;30;53;4;0;1;0;0;0;0;0;0;0
13ST;0;OBS t Geuzennest;TERNEUZEN;Zeeland;PO2903;40803;111;48;63;99;10;2;8;111;48;63;99;10;2;8;0;0;0;0;0;0;0
13SX;0;Basisschoo lVlieger Tsjerne;OPSTERLAND;Friesland;PO2101;41806;199;102;97;183;7;9;12;199;102;97;183;7;9;12;0;0;0;0;0;0;0
13SY;0;WereldKidz Koppel;ZEIST;Utrecht;PO2603;41496;121;46;75;76;4;41;91;121;46;75;76;4;41;91;0;0;0;0;0;0;0
13SY;1;WereldKidz Koppel;ZEIST;Utrecht;PO2603;41496;80;39;41;79;0;1;0;80;39;41;79;0;1;0;0;0;0;0;0;0;0
13TA;0;KC Bamboe;S GRAVENHAGE;Zuid-Holland;PO2815;20281;332;180;152;228;23;81;256;331;180;151;227;23;81;255;1;0;1;1;0;0;1
13TB;0;CBS De Koning;ENSCHEDE;Overijssel;PO2302;24844;165;93;72;120;20;25;17;165;93;72;120;20;25;17;0;0;0;0;0;0;0
13TG;0;Basisschool de Bron;NISSEWAARD;Zuid-Holland;PO2808;45917;206;105;101;183;9;14;34;205;104;101;182;9;14;33;1;1;0;1;0;0;1
13TJ;0;CBS Op de Wieken;NOORDOOSTPOLDER;Flevoland;PO2402;52274;160;87;73;144;13;3;1;160;87;73;144;13;3;1;0;0;0;0;0;0;0
13TK;0;Chr Basisschool De Polle;TWENTERAND;Overijssel;PO2301;61751;53;27;26;49;3;1;0;53;27;26;49;3;1;0;0;0;0;0;0;0;0
13TM;0;Timotheusschool;AMSTERDAM;Noord-Holland;PO2707;81316;498;267;231;356;38;104;394;498;267;231;356;38;104;394;0;0;0;0;0;0;0
13TN;0;Bs Karel de Grote;EINDHOVEN;Noord-Brabant;PO3007;40378;176;101;75;106;32;38;107;176;101;75;106;32;38;107;0;0;0;0;0;0;0
13TP;0;De Ark;HAARLEM;Noord-Holland;PO2704;85255;771;444;327;771;0;0;0;771;444;327;771;0;0;0;0;0;0;0;0;0;0
13TQ;0;Basisschool de Wegwijzer;KAMPEN;Overijssel;PO2305;41125;91;52;39;84;5;2;2;91;52;39;84;5;2;2;0;0;0;0;0;0;0
13TR;0;Bs md Bijbel De Akker;PUTTEN;Gelderland;PO2509;40862;214;104;110;191;19;4;7;214;104;110;191;19;4;7;0;0;0;0;0;0;0
13TT;0;Obs de Tolter;MEPPEL;Drenthe;PO2203;41629;156;59;97;152;4;0;2;156;59;97;152;4;0;2;0;0;0;0;0;0;0
13TU;0;Willem Lodewijck;VLAGTWEDDE;Groningen;PO2001;10925;63;28;35;57;5;1;0;63;28;35;57;5;1;0;0;0;0;0;0;0;0
13TX;0;Het Palet;ALPHEN AAN DEN RIJN;Zuid-Holland;PO2813;41431;111;62;49;103;5;3;18;110;61;49;102;5;3;18;1;1;0;1;0;0;0
13TY;0;De Tweemaster;HOOGEZAND-SAPPEMEER;Groningen;PO2001;10426;193;99;94;137;26;30;77;192;99;93;137;25;30;77;1;0;1;0;1;0;0
13UB;0;BS Graaf Reinald;GORINCHEM;Zuid-Holland;PO2816;41386;216;125;91;208;5;3;40;214;124;90;206;5;3;38;2;1;1;2;0;0;2
13UC;0;Obs de Flint;NOORDENVELD;Drenthe;PO2001;11711;76;39;37;76;0;0;0;76;39;37;76;0;0;0;0;0;0;0;0;0;0
13UD;0;Obs de Moespot;TIEL;Gelderland;PO2508;41876;342;154;188;307;13;22;40;342;154;188;307;13;22;40;0;0;0;0;0;0;0
13UE;0;De Helix;HEERHUGOWAARD;Noord-Holland;PO2703;41364;97;45;52;87;4;6;22;97;45;52;87;4;6;22;0;0;0;0;0;0;0
13UI;0;De Tandem;ALMELO;Overijssel;PO2301;41522;436;186;250;297;38;101;246;434;186;248;296;38;100;244;2;0;2;1;0;1;2
13UJ;0;Bs Koningin Wilhelmina;KRIMPENERWAARD;Zuid-Holland;PO2814;41401;253;142;111;217;24;12;9;253;142;111;217;24;12;9;0;0;0;0;0;0;0
13UL;0;Apollo;HOOGEVEEN;Drenthe;PO2203;42557;176;99;77;132;28;16;21;176;99;77;132;28;16;21;0;0;0;0;0;0;0
13UO;0;OBS De Noorderbreedte;VEENDAM;Groningen;PO2001;41780;164;85;79;111;25;28;27;162;84;78;109;25;28;27;2;1;1;2;0;0;0
13UP;0;Basisschool de Folefinne;LITTENSERADIEL;Friesland;PO2101;41856;39;25;14;39;0;0;0;39;25;14;39;0;0;0;0;0;0;0;0;0;0
13UR;0;Meester G. Propschool;LOCHEM;Gelderland;PO2501;42561;286;124;162;279;6;1;10;286;124;162;279;6;1;10;0;0;0;0;0;0;0
13UV;0;De Oerstek;TYTSJERKSTERADIEL;Friesland;PO2101;41735;46;19;27;42;4;0;3;46;19;27;42;4;0;3;0;0;0;0;0;0;0
13UW;0;Basisschool de Striepe;WESTSTELLINGWERF;Friesland;PO2101;41631;85;38;47;84;1;0;0;85;38;47;84;1;0;0;0;0;0;0;0;0;0
13UX;0;Obs Piet Hein;AMSTELVEEN;Noord-Holland;PO2708;41580;633;341;292;633;0;0;113;633;341;292;633;0;0;113;0;0;0;0;0;0;0
13VC;0;OBS de Huet;DOETINCHEM;Gelderland;PO2503;41371;178;97;81;167;7;4;18;178;97;81;167;7;4;18;0;0;0;0;0;0;0
13VG;0;Het Anker;BINNENMAAS;Zuid-Holland;PO2804;41444;62;36;26;58;1;3;7;62;36;26;58;1;3;7;0;0;0;0;0;0;0
13VH;0;Pro Rege school;AMSTERDAM;Noord-Holland;PO2707;81316;575;296;279;557;7;11;218;575;296;279;557;7;11;218;0;0;0;0;0;0;0
13VI;0;Het Stroomdal;ZWOLLE;Overijssel;PO2305;40934;158;80;78;138;12;8;40;157;80;77;137;12;8;39;1;0;1;1;0;0;1
13VN;0;De Trompetvogel;NIEUWEGEIN;Utrecht;PO2605;41528;226;121;105;216;2;8;8;226;121;105;216;2;8;8;0;0;0;0;0;0;0
13VQ;0;"Christelijke BS ""Melodie""";RIJSWIJK;Zuid-Holland;PO2815;20281;285;166;119;224;28;33;101;285;166;119;224;28;33;101;0;0;0;0;0;0;0
13VR;0;Basisschool Wilhelmina;RIJSSEN-HOLTEN;Overijssel;PO2301;77196;206;116;90;194;7;5;6;206;116;90;194;7;5;6;0;0;0;0;0;0;0
13VS;0;De Rietakker;DE BILT;Utrecht;PO2603;41794;218;116;102;203;7;8;27;218;116;102;203;7;8;27;0;0;0;0;0;0;0
13VY;0;Basisschool Emmaschool;STEENWIJKERLAND;Overijssel;PO2203;41816;58;34;24;46;4;8;1;58;34;24;46;4;8;1;0;0;0;0;0;0;0
13WB;0;Bs De Twee Wieken;ZWIJNDRECHT;Zuid-Holland;PO2809;42709;296;147;149;240;24;32;38;296;147;149;240;24;32;38;0;0;0;0;0;0;0
13WC;0;Obs Tweespan;NISSEWAARD;Zuid-Holland;PO2808;41570;68;21;47;66;2;0;1;68;21;47;66;2;0;1;0;0;0;0;0;0;0
13WE;0;OBS Gildeschool;EPE;Gelderland;PO2509;41345;190;95;95;170;13;7;20;190;95;95;170;13;7;20;0;0;0;0;0;0;0
13WI;0;OBS St@mperius;GOES;Zeeland;PO2902;41670;61;27;34;58;3;0;0;61;27;34;58;3;0;0;0;0;0;0;0;0;0
13WM;0;Jeroen;S GRAVENHAGE;Zuid-Holland;PO2815;20281;398;191;207;321;30;47;309;397;190;207;320;30;47;308;1;1;0;1;0;0;1
13WQ;0;Basisschool het Baken;NISSEWAARD;Zuid-Holland;PO2808;45917;194;108;86;173;13;8;17;194;108;86;173;13;8;17;0;0;0;0;0;0;0
13WR;0;Bs De Kleine Wereld;NIJMEGEN;Gelderland;PO2507;47100;197;103;94;145;31;21;70;197;103;94;145;31;21;70;0;0;0;0;0;0;0
13WS;0;Mgr Bekkersschool;DELFT;Zuid-Holland;PO2802;40928;134;64;70;77;19;38;99;134;64;70;77;19;38;99;0;0;0;0;0;0;0
13WT;0;CBS Klimop;NOORDOOSTPOLDER;Flevoland;PO2402;52274;54;28;26;54;0;0;3;54;28;26;54;0;0;3;0;0;0;0;0;0;0
13WU;0;De Regenboog;AMSTERDAM;Noord-Holland;PO2707;41023;227;118;109;206;3;18;65;225;116;109;204;3;18;65;2;2;0;2;0;0;0
13WV;0;De Springplank;EDAM-VOLENDAM;Noord-Holland;PO2706;72853;201;93;108;173;28;0;3;201;93;108;173;28;0;3;0;0;0;0;0;0;0
13WW;0;KC Westerbreedte;S HERTOGENBOSCH;Noord-Brabant;PO3005;74049;368;185;183;259;27;82;174;368;185;183;259;27;82;174;0;0;0;0;0;0;0
13WX;0;Johannesschool;AMSTERDAM;Noord-Holland;PO2707;81316;192;87;105;117;13;62;151;192;87;105;117;13;62;151;0;0;0;0;0;0;0
13WZ;0;Basissch de Rehobothsch;KAMPEN;Overijssel;PO2305;41125;206;104;102;198;6;2;7;206;104;102;198;6;2;7;0;0;0;0;0;0;0
13XA;0;Bs met de Bijbel Huinen;PUTTEN;Gelderland;PO0001;40667;119;49;70;105;13;1;0;119;49;70;105;13;1;0;0;0;0;0;0;0;0
13XE;0;Nieuw Buinen 75;BORGER-ODOORN;Drenthe;PO2202;42554;74;33;41;72;1;1;0;74;33;41;72;1;1;0;0;0;0;0;0;0;0
13XF;0;De Kluft;DEN HELDER;Noord-Holland;PO2701;41858;225;90;135;196;17;12;43;225;90;135;196;17;12;43;0;0;0;0;0;0;0
13XG;0;OBS Het Startblok;ALPHEN AAN DEN RIJN;Zuid-Holland;PO2813;41431;151;78;73;130;5;16;41;151;78;73;130;5;16;41;0;0;0;0;0;0;0
13XH;0;Obs Meester Eeuwout;BRIELLE;Zuid-Holland;PO2808;41570;137;73;64;136;1;0;3;137;73;64;136;1;0;3;0;0;0;0;0;0;0
13XI;0;Het Ruimteschip;HOOGEZAND-SAPPEMEER;Groningen;PO2001;10426;268;129;139;236;13;19;5;268;129;139;236;13;19;5;0;0;0;0;0;0;0
13XJ;0;Obs 't Vierspan;STEDE BROEC;Noord-Holland;PO2702;13662;313;147;166;257;33;23;56;313;147;166;257;33;23;56;0;0;0;0;0;0;0
13XL;0;Meander SGM v BSO;GORINCHEM;Zuid-Holland;PO2816;41386;464;226;238;363;31;70;231;464;226;238;363;31;70;231;0;0;0;0;0;0;0
13XM;0;OBS Het Palet;NOORDENVELD;Drenthe;PO2001;11711;54;27;27;54;0;0;1;54;27;27;54;0;0;1;0;0;0;0;0;0;0
13XN;0;Basisschool De Waayer;TIEL;Gelderland;PO2508;41876;280;112;168;269;7;4;36;280;112;168;269;7;4;36;0;0;0;0;0;0;0
13XP;0;De Kameleon;RHEDEN;Gelderland;PO2506;41617;141;71;70;98;15;28;44;141;71;70;98;15;28;44;0;0;0;0;0;0;0
13XQ;0;Montessori Schiedam;SCHIEDAM;Zuid-Holland;PO2807;41567;164;103;61;151;13;0;28;164;103;61;151;13;0;28;0;0;0;0;0;0;0
13XS;0;De Twijn;ALMELO;Overijssel;PO2301;41522;163;86;77;129;26;8;16;163;86;77;129;26;8;16;0;0;0;0;0;0;0
13XT;0;Basisschool Pr Bernhard;KRIMPENERWAARD;Zuid-Holland;PO2814;41401;36;15;21;34;2;0;1;36;15;21;34;2;0;1;0;0;0;0;0;0;0
13XU;0;BS Noorderbreedte;DELFZIJL;Groningen;PO2001;41574;131;53;78;99;17;15;34;131;53;78;99;17;15;34;0;0;0;0;0;0;0
13XW;0;Het Hoeltien, loc. Oostenbrink;HOOGEVEEN;Drenthe;PO2203;42557;135;69;66;89;39;7;4;135;69;66;89;39;7;4;0;0;0;0;0;0;0
