PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00KM;36;De Kapstok;7555CS;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;1;11;18;8;2;0;0;0;0;0;0;40
20161001;00KM;39;De Kapstok;7556BV;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;3;1;1;1;0;0;0;0;15
20161001;00KM;40;De Kapstok;7556BV;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;1;0;0;0;0;0;10
20161001;00KM;41;De Zevensprong;7552MT;HENGELO OV; 164;Hengelo;Overijssel;So;3/4;Algemeen bijzonder;25859;0;11;12;12;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
20161001;00KM;42;Het Mozaiek;7552JR;HENGELO OV; 164;Hengelo;Overijssel;So;3/4;Algemeen bijzonder;25859;0;0;0;1;19;29;27;29;44;26;0;0;0;0;0;0;0;0;0;0;0;0;0;175
20161001;00KM;43;De Kapstok;7555ED;HENGELO OV; 164;Hengelo;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;6;11;15;22;6;0;0;0;0;0;0;0;0;0;60
20161001;00KM;47;De Kapstok;7575CB;OLDENZAAL; 173;Oldenzaal;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;6;5;2;0;0;0;0;0;23
20161001;00KM;48;De Kapstok;7475NZ;MARKELO;1735;Hof van Twente;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;6
20161001;00KM;49;De Kapstok;7547TE;ENSCHEDE; 153;Enschede;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;1;0;0;0;0;0;0;11
20161001;00KM;52;Panta Rhei;7522AR;ENSCHEDE; 153;Enschede;Overijssel;Vso;3/4;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;1;19;34;23;10;3;1;1;0;0;0;0;0;0;0;92
20161001;00KM;55;Attendiz;7601CT;ALMELO; 141;Almelo;Overijssel;So;3/4;Algemeen bijzonder;25859;0;18;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45
